Number of nodes,Number of edges,Edge probability,Algorithm,Results,Number of basic operations,Execution time,Number of solutions tested
18,132,0.75,Maximum Clique - Branch Bound Greedy,"[0, 1, 2, 3, 4, 6, 8, 12, 13, 16, 17]",Not used,0.0002300739288330078,492
19,35,0.125,Exhaustive Search,"[[7, 9, 14, 16], [0, 6, 11, 17]]",569438,10.168776035308838,523141
19,35,0.125,Maximal Clique - Simple Greedy,"[6, 8]",3,0.00010418891906738281,19
19,35,0.125,Maximum Clique - Branch Bound Greedy,"[0, 6, 11, 17]",Not used,0.0005128383636474609,495
19,54,0.25,Exhaustive Search,"[[13, 14, 17, 18], [4, 10, 11, 13], [0, 14, 16, 17]]",939499,10.790017366409302,523130
19,54,0.25,Maximal Clique - Simple Greedy,"[2, 5, 18]",13,8.296966552734375e-05,19
19,54,0.25,Maximum Clique - Branch Bound Greedy,"[0, 14, 16, 17]",Not used,0.0013513565063476562,498
19,102,0.5,Exhaustive Search,"[[2, 8, 11, 12, 13, 14, 17]]",1130390,10.559287548065186,480735
19,102,0.5,Maximal Clique - Simple Greedy,"[1, 2, 6, 8, 17]",17,6.961822509765625e-05,19
19,102,0.5,Maximum Clique - Branch Bound Greedy,"[2, 8, 11, 12, 13, 14, 17]",Not used,0.0002830028533935547,499
19,123,0.75,Exhaustive Search,"[[0, 5, 6, 7, 8, 15, 16, 17]]",871207,9.35447883605957,431362
19,123,0.75,Maximal Clique - Simple Greedy,"[0, 4, 5, 6, 7, 8]",41,6.651878356933594e-05,19
19,123,0.75,Maximum Clique - Branch Bound Greedy,"[0, 5, 6, 7, 8, 15, 16, 17]",Not used,0.037705421447753906,552
20,34,0.125,Exhaustive Search,"[[11, 16, 19], [11, 15, 16], [11, 13, 16], [10, 11, 19], [8, 10, 19], [4, 8, 10], [4, 5, 8], [3, 4, 8], [0, 5, 8]]",1181011,21.43803334236145,1048366
20,34,0.125,Maximal Clique - Simple Greedy,"[12, 14]",3,7.557868957519531e-05,20
